event_id,home_team,away_team,commence_time,game_date,type,h2h_atlanta_braves_line,h2h_atlanta_braves_odds,h2h_los_angeles_angels_line,h2h_los_angeles_angels_odds,spreads_atlanta_braves_line,spreads_atlanta_braves_odds,spreads_los_angeles_angels_line,spreads_los_angeles_angels_odds,totals_over_line,totals_over_odds,totals_under_line,totals_under_odds,h2h_colorado_rockies_line,h2h_colorado_rockies_odds,h2h_houston_astros_line,h2h_houston_astros_odds,spreads_colorado_rockies_line,spreads_colorado_rockies_odds,spreads_houston_astros_line,spreads_houston_astros_odds,h2h_miami_marlins_line,h2h_miami_marlins_odds,h2h_minnesota_twins_line,h2h_minnesota_twins_odds,spreads_miami_marlins_line,spreads_miami_marlins_odds,spreads_minnesota_twins_line,spreads_minnesota_twins_odds,h2h_kansas_city_royals_line,h2h_kansas_city_royals_odds,h2h_seattle_mariners_line,h2h_seattle_mariners_odds,spreads_kansas_city_royals_line,spreads_kansas_city_royals_odds,spreads_seattle_mariners_line,spreads_seattle_mariners_odds,h2h_detroit_tigers_line,h2h_detroit_tigers_odds,h2h_washington_nationals_line,h2h_washington_nationals_odds,spreads_detroit_tigers_line,spreads_detroit_tigers_odds,spreads_washington_nationals_line,spreads_washington_nationals_odds,h2h_new_york_yankees_line,h2h_new_york_yankees_odds,h2h_toronto_blue_jays_line,h2h_toronto_blue_jays_odds,spreads_new_york_yankees_line,spreads_new_york_yankees_odds,spreads_toronto_blue_jays_line,spreads_toronto_blue_jays_odds,h2h_chicago_white_sox_line,h2h_chicago_white_sox_odds,h2h_los_angeles_dodgers_line,h2h_los_angeles_dodgers_odds,spreads_chicago_white_sox_line,spreads_chicago_white_sox_odds,spreads_los_angeles_dodgers_line,spreads_los_angeles_dodgers_odds,h2h_milwaukee_brewers_line,h2h_milwaukee_brewers_odds,h2h_new_york_mets_line,h2h_new_york_mets_odds,spreads_milwaukee_brewers_line,spreads_milwaukee_brewers_odds,spreads_new_york_mets_line,spreads_new_york_mets_odds,h2h_arizona_diamondbacks_line,h2h_arizona_diamondbacks_odds,h2h_san_francisco_giants_line,h2h_san_francisco_giants_odds,spreads_arizona_diamondbacks_line,spreads_arizona_diamondbacks_odds,spreads_san_francisco_giants_line,spreads_san_francisco_giants_odds,h2h_chicago_cubs_line,h2h_chicago_cubs_odds,h2h_cleveland_guardians_line,h2h_cleveland_guardians_odds,spreads_chicago_cubs_line,spreads_chicago_cubs_odds,spreads_cleveland_guardians_line,spreads_cleveland_guardians_odds,props
68a8efeb85787711ad709cca300479ff,Los Angeles Dodgers,Chicago White Sox,2025-07-04 02:11:00+00:00,2025-07-04,pitcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
68a8efeb85787711ad709cca300479ff,Los Angeles Dodgers,Chicago White Sox,2025-07-04 02:11:00+00:00,2025-07-04,batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
9bf6c6fabb24ec6313b872d9c252a44f,New York Mets,Milwaukee Brewers,2025-07-03 23:11:00+00:00,2025-07-03,team,,,,,,,,,8.5,-103.0,8.5,-118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.0,,-163.0,1.5,-164.0,-1.5,134.0,,,,,,,,,,,,,,,,,
9bf6c6fabb24ec6313b872d9c252a44f,New York Mets,Milwaukee Brewers,2025-07-03 23:11:00+00:00,2025-07-03,pitcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
9bf6c6fabb24ec6313b872d9c252a44f,New York Mets,Milwaukee Brewers,2025-07-03 23:11:00+00:00,2025-07-03,batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
bb12adb66c2f6e3c102f5bc27d3ed473,Arizona Diamondbacks,San Francisco Giants,2025-07-04 01:41:00+00:00,2025-07-04,team,,,,,,,,,8.5,-106.0,8.5,-114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.0,,-126.0,1.5,-164.0,-1.5,134.0,,,,,,,,,
bb12adb66c2f6e3c102f5bc27d3ed473,Arizona Diamondbacks,San Francisco Giants,2025-07-04 01:41:00+00:00,2025-07-04,pitcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
bb12adb66c2f6e3c102f5bc27d3ed473,Arizona Diamondbacks,San Francisco Giants,2025-07-04 01:41:00+00:00,2025-07-04,batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
d86718157d5d6da8331ae21733a311d6,Chicago Cubs,Cleveland Guardians,2025-07-04 00:05:00+00:00,2025-07-04,team,,,,,,,,,8.5,-112.0,8.5,-108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-144.0,,118.0,-1.5,138.0,1.5,-168.0,
d86718157d5d6da8331ae21733a311d6,Chicago Cubs,Cleveland Guardians,2025-07-04 00:05:00+00:00,2025-07-04,pitcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
d86718157d5d6da8331ae21733a311d6,Chicago Cubs,Cleveland Guardians,2025-07-04 00:05:00+00:00,2025-07-04,batter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[]
